"id_keyb","key_name","position","event","input","timestamp","epoch"
"17556","7","Numpad7","keydown","1","2024-01-29 16:14:43:000162","1706555683162"
"17557","7","Numpad7","keyup","1","2024-01-29 16:14:43:000289","1706555683289"
"17558","4","Numpad4","keydown","1","2024-01-29 16:14:43:000425","1706555683425"
"17559","4","Numpad4","keyup","1","2024-01-29 16:14:43:000538","1706555683538"
"17560","4","Numpad4","keydown","1","2024-01-29 16:14:44:000810","1706555684810"
"17561","4","Numpad4","keyup","1","2024-01-29 16:14:44:000953","1706555684953"
"17562","3","Numpad3","keydown","1","2024-01-29 16:14:45:000168","1706555685168"
"17563","3","Numpad3","keyup","1","2024-01-29 16:14:45:000322","1706555685322"
"17564","2","Numpad2","keydown","1","2024-01-29 16:14:45:000410","1706555685410"
"17565","2","Numpad2","keyup","1","2024-01-29 16:14:45:000545","1706555685545"
"17566","1","Numpad1","keydown","1","2024-01-29 16:14:45:000779","1706555685779"
"17567","1","Numpad1","keyup","1","2024-01-29 16:14:45:000906","1706555685906"
"17568","3","Numpad3","keydown","1","2024-01-29 16:14:46:000810","1706555686810"
"17569","3","Numpad3","keyup","1","2024-01-29 16:14:46:000946","1706555686946"
"17570","5","Numpad5","keydown","1","2024-01-29 16:14:47:000090","1706555687090"
"17571","5","Numpad5","keyup","1","2024-01-29 16:14:47:000225","1706555687225"
"17572","6","Numpad6","keydown","1","2024-01-29 16:14:47:000321","1706555687321"
"17573","6","Numpad6","keyup","1","2024-01-29 16:14:47:000468","1706555687468"
"17574","5","Numpad5","keydown","1","2024-01-29 16:14:47:000610","1706555687610"
"17575","5","Numpad5","keyup","1","2024-01-29 16:14:47:000720","1706555687720"
"17576","1","Numpad1","keydown","1","2024-01-29 16:14:47:000994","1706555687994"
"17577","1","Numpad1","keyup","1","2024-01-29 16:14:48:000114","1706555688114"
"17578","2","Numpad2","keydown","1","2024-01-29 16:14:48:000466","1706555688466"
"17579","2","Numpad2","keyup","1","2024-01-29 16:14:48:000578","1706555688578"
"17580","9","Numpad9","keydown","1","2024-01-29 16:14:48:000858","1706555688858"
"17581","9","Numpad9","keyup","1","2024-01-29 16:14:49:000042","1706555689042"
"17582","7","Numpad7","keydown","1","2024-01-29 16:14:49:000082","1706555689082"
"17583","7","Numpad7","keyup","1","2024-01-29 16:14:49:000178","1706555689178"
"17584","1","Numpad1","keydown","2","2024-01-29 16:14:51:000090","1706555691090"
"17585","0","Numpad0","keydown","2","2024-01-29 16:14:51:000273","1706555691274"
"17586","1","Numpad1","keyup","2","2024-01-29 16:14:51:000314","1706555691314"
"17587","0","Numpad0","keyup","2","2024-01-29 16:14:51:000426","1706555691426"
"17588","2","Numpad2","keydown","3","2024-01-29 16:14:53:000642","1706555693642"
"17589","0","Numpad0","keydown","3","2024-01-29 16:14:53:000762","1706555693762"
"17590","2","Numpad2","keyup","3","2024-01-29 16:14:53:000833","1706555693833"
"17591","0","Numpad0","keyup","3","2024-01-29 16:14:53:000930","1706555693930"
"17592","6","Numpad6","keydown","3","2024-01-29 16:14:53:000978","1706555693978"
"17593","5","Numpad5","keydown","3","2024-01-29 16:14:54:000084","1706555694084"
"17594","6","Numpad6","keyup","3","2024-01-29 16:14:54:000153","1706555694153"
"17595","5","Numpad5","keyup","3","2024-01-29 16:14:54:000169","1706555694169"
"17596","9","Numpad9","keydown","4","2024-01-29 16:14:56:000346","1706555696346"
"17597","7","Numpad7","keydown","4","2024-01-29 16:14:56:000522","1706555696522"
"17598","9","Numpad9","keyup","4","2024-01-29 16:14:56:000594","1706555696594"
"17599","7","Numpad7","keyup","4","2024-01-29 16:14:56:000634","1706555696634"
"17600","1","Numpad1","keydown","4","2024-01-29 16:14:56:000786","1706555696786"
"17601","1","Numpad1","keyup","4","2024-01-29 16:14:56:000866","1706555696866"
"17602","Backspace","Backspace","keydown","4","2024-01-29 16:14:57:000962","1706555697962"
"17603","Backspace","Backspace","keyup","4","2024-01-29 16:14:58:000026","1706555698026"
"17604","Backspace","Backspace","keydown","4","2024-01-29 16:14:58:000122","1706555698122"
"17605","Backspace","Backspace","keyup","4","2024-01-29 16:14:58:000161","1706555698161"
"17606","Backspace","Backspace","keydown","4","2024-01-29 16:14:58:000232","1706555698232"
"17607","Backspace","Backspace","keyup","4","2024-01-29 16:14:58:000297","1706555698297"
"17608","3","Numpad3","keydown","4","2024-01-29 16:14:58:000723","1706555698723"
"17609","3","Numpad3","keyup","4","2024-01-29 16:14:58:000826","1706555698826"
"17610","7","Numpad7","keydown","4","2024-01-29 16:14:59:000226","1706555699226"
"17611","7","Numpad7","keyup","4","2024-01-29 16:14:59:000322","1706555699322"
"17612","1","Numpad1","keydown","4","2024-01-29 16:14:59:000579","1706555699579"
