"id_beh","input_order","numbers","uppercase","naStartTs","naStartE","naFinishTs","naFinishE","cnStartTs","cnStartE","cnFinishTs","cnFinishE","scStartTs","scStartE","scFinishTs","scFinishE","mStartTs","mStartE","mFinishTs","mFinishE","yStartTs","yStartE","yFinishTs","yFinishE","StartTs","StartE","FinishTs","FinishE"
"21","1-2-3-4-5","Numpad","CapsLock","2023-12-26 09:41:33:000117","1703594493117","2023-12-26 09:41:41:000953","1703594501953","2023-12-26 09:41:10:000043","1703594470043","2023-12-26 09:41:23:000022","1703594483022","2023-12-26 09:41:29:000660","1703594489660","2023-12-26 09:41:33:000117","1703594493117","2023-12-26 09:41:23:000022","1703594483022","2023-12-26 09:41:25:000741","1703594485741","2023-12-26 09:41:25:000741","1703594485741","2023-12-26 09:41:29:000660","1703594489660","2023-12-26 09:41:10:000043","1703594470043","2023-12-26 09:41:41:000953","1703594501953"
"22","1-2-3-4-5","Mixed","CapsLock","2023-12-26 21:18:50:000441","1703636330441","2023-12-26 21:18:59:000481","1703636339481","2023-12-26 21:18:28:000703","1703636308703","2023-12-26 21:18:41:000189","1703636321189","2023-12-26 21:18:47:000421","1703636327421","2023-12-26 21:18:50:000440","1703636330441","2023-12-26 21:18:41:000189","1703636321189","2023-12-26 21:18:43:000653","1703636323653","2023-12-26 21:18:43:000653","1703636323653","2023-12-26 21:18:47:000421","1703636327421","2023-12-26 21:18:28:000703","1703636308703","2023-12-26 21:18:59:000481","1703636339481"
"23","1-2-3-4-5","Numpad","CapsLock","2024-01-01 21:20:37:000599","1704154837599","2024-01-01 21:20:44:000956","1704154844956","2024-01-01 21:20:10:000818","1704154810818","2024-01-01 21:20:25:000727","1704154825727","2024-01-01 21:20:34:000021","1704154834021","2024-01-01 21:20:37:000599","1704154837599","2024-01-01 21:20:25:000728","1704154825728","2024-01-01 21:20:28:000544","1704154828544","2024-01-01 21:20:28:000544","1704154828544","2024-01-01 21:20:34:000021","1704154834021","2024-01-01 21:20:10:000818","1704154810818","2024-01-01 21:20:44:000956","1704154844956"
"24","1-2-3-4-5","Numpad","CapsLock","2024-01-02 13:44:06:000476","1704213846476","2024-01-02 13:44:12:000665","1704213852665","2024-01-02 13:43:45:000250","1704213825250","2024-01-02 13:43:57:000373","1704213837373","2024-01-02 13:44:03:000561","1704213843561","2024-01-02 13:44:06:000476","1704213846476","2024-01-02 13:43:57:000373","1704213837373","2024-01-02 13:43:59:000914","1704213839914","2024-01-02 13:43:59:000914","1704213839914","2024-01-02 13:44:03:000561","1704213843561","2024-01-02 13:43:45:000250","1704213825250","2024-01-02 13:44:12:000665","1704213852665"
"25","1-2-3-4-5","Numpad","CapsLock","2024-01-02 12:52:44:000016","1704210764016","2024-01-02 12:52:50:000887","1704210770887","2024-01-02 12:52:20:000695","1704210740695","2024-01-02 12:52:34:000090","1704210754090","2024-01-02 12:52:40:000966","1704210760966","2024-01-02 12:52:44:000016","1704210764016","2024-01-02 12:52:34:000090","1704210754090","2024-01-02 12:52:36:000659","1704210756659","2024-01-02 12:52:36:000659","1704210756659","2024-01-02 12:52:40:000966","1704210760966","2024-01-02 12:52:20:000695","1704210740695","2024-01-02 12:52:50:000887","1704210770887"
"26","1-2-3-4-5","Numpad","CapsLock","2024-01-02 13:56:51:000334","1704214611334","2024-01-02 13:56:58:000038","1704214618038","2024-01-02 13:56:31:000277","1704214591277","2024-01-02 13:56:41:000777","1704214601777","2024-01-02 13:56:47:000945","1704214607945","2024-01-02 13:56:51:000334","1704214611334","2024-01-02 13:56:41:000777","1704214601777","2024-01-02 13:56:44:000178","1704214604178","2024-01-02 13:56:44:000179","1704214604179","2024-01-02 13:56:47:000944","1704214607944","2024-01-02 13:56:31:000277","1704214591277","2024-01-02 13:56:58:000038","1704214618038"
"27","1-2-3-4-5","Mixed","CapsLock","2024-01-02 17:00:18:000890","1704225618890","2024-01-02 17:00:26:000395","1704225626395","2024-01-02 16:59:53:000667","1704225593668","2024-01-02 17:00:05:000982","1704225605982","2024-01-02 17:00:15:000294","1704225615294","2024-01-02 17:00:18:000890","1704225618890","2024-01-02 17:00:05:000982","1704225605982","2024-01-02 17:00:10:000863","1704225610863","2024-01-02 17:00:10:000863","1704225610863","2024-01-02 17:00:15:000294","1704225615294","2024-01-02 16:59:53:000668","1704225593668","2024-01-02 17:00:26:000395","1704225626395"
"28","1-2-3-4-5","Mixed","CapsLock","2024-01-02 18:00:50:000304","1704229250304","2024-01-02 18:00:57:000718","1704229257718","2024-01-02 18:00:27:000056","1704229227057","2024-01-02 18:00:40:000849","1704229240849","2024-01-02 18:00:47:000359","1704229247359","2024-01-02 18:00:50:000303","1704229250303","2024-01-02 18:00:40:000849","1704229240849","2024-01-02 18:00:43:000578","1704229243578","2024-01-02 18:00:43:000579","1704229243579","2024-01-02 18:00:47:000358","1704229247358","2024-01-02 18:00:27:000057","1704229227057","2024-01-02 18:00:57:000718","1704229257718"
"29","1-2-3-4-5","Numpad","CapsLock","2024-01-02 22:55:58:000460","1704246958460","2024-01-02 22:56:06:000492","1704246966492","2024-01-02 22:55:37:000153","1704246937153","2024-01-02 22:55:48:000066","1704246948066","2024-01-02 22:55:54:000757","1704246954757","2024-01-02 22:55:58:000459","1704246958459","2024-01-02 22:55:48:000066","1704246948066","2024-01-02 22:55:50:000878","1704246950878","2024-01-02 22:55:50:000878","1704246950878","2024-01-02 22:55:54:000756","1704246954756","2024-01-02 22:55:37:000153","1704246937153","2024-01-02 22:56:06:000492","1704246966492"
"30","1-2-3-4-5","Numpad","CapsLock","2024-01-04 14:31:57:000382","1704389517382","2024-01-04 14:32:05:000650","1704389525650","2024-01-04 14:31:37:000313","1704389497313","2024-01-04 14:31:47:000790","1704389507790","2024-01-04 14:31:54:000319","1704389514319","2024-01-04 14:31:57:000382","1704389517382","2024-01-04 14:31:47:000790","1704389507790","2024-01-04 14:31:50:000498","1704389510498","2024-01-04 14:31:50:000498","1704389510498","2024-01-04 14:31:54:000319","1704389514319","2024-01-04 14:31:37:000313","1704389497313","2024-01-04 14:32:05:000650","1704389525650"
"75","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:53:47:000642","1704801227642","2024-01-09 08:53:53:000362","1704801233362","2024-01-09 08:53:24:000554","1704801204554","2024-01-09 08:53:38:000235","1704801218235","2024-01-09 08:53:45:000162","1704801225162","2024-01-09 08:53:47:000642","1704801227642","2024-01-09 08:53:38:000235","1704801218235","2024-01-09 08:53:41:000378","1704801221378","2024-01-09 08:53:41:000378","1704801221378","2024-01-09 08:53:45:000162","1704801225162","2024-01-09 08:53:24:000554","1704801204554","2024-01-09 08:53:53:000362","1704801233362"
"74","1-2-3-4-5","Mixed","CapsLock","2024-01-09 08:53:12:000570","1704801192570","2024-01-09 08:53:19:000963","1704801199963","2024-01-09 08:52:48:000682","1704801168682","2024-01-09 08:52:59:000202","1704801179202","2024-01-09 08:53:09:000482","1704801189482","2024-01-09 08:53:12:000570","1704801192570","2024-01-09 08:52:59:000202","1704801179202","2024-01-09 08:53:06:000042","1704801186042","2024-01-09 08:53:06:000043","1704801186043","2024-01-09 08:53:09:000482","1704801189482","2024-01-09 08:52:48:000682","1704801168682","2024-01-09 08:53:19:000963","1704801199963"
"73","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:52:26:000290","1704801146290","2024-01-09 08:52:31:000930","1704801151930","2024-01-09 08:52:06:000786","1704801126786","2024-01-09 08:52:17:000434","1704801137434","2024-01-09 08:52:23:000394","1704801143394","2024-01-09 08:52:26:000290","1704801146290","2024-01-09 08:52:17:000434","1704801137434","2024-01-09 08:52:19:000802","1704801139802","2024-01-09 08:52:19:000802","1704801139802","2024-01-09 08:52:23:000393","1704801143393","2024-01-09 08:52:06:000786","1704801126786","2024-01-09 08:52:31:000930","1704801151930"
"72","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:51:55:000642","1704801115642","2024-01-09 08:52:01:000851","1704801121851","2024-01-09 08:51:34:000282","1704801094282","2024-01-09 08:51:46:000490","1704801106490","2024-01-09 08:51:52:000498","1704801112498","2024-01-09 08:51:55:000642","1704801115642","2024-01-09 08:51:46:000490","1704801106490","2024-01-09 08:51:48:000746","1704801108746","2024-01-09 08:51:48:000746","1704801108746","2024-01-09 08:51:52:000498","1704801112498","2024-01-09 08:51:34:000282","1704801094282","2024-01-09 08:52:01:000851","1704801121851"
"71","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:51:18:000580","1704801078580","2024-01-09 08:51:25:000147","1704801085147","2024-01-09 08:50:57:000634","1704801057634","2024-01-09 08:51:09:000266","1704801069266","2024-01-09 08:51:15:000058","1704801075058","2024-01-09 08:51:18:000580","1704801078580","2024-01-09 08:51:09:000267","1704801069267","2024-01-09 08:51:11:000634","1704801071634","2024-01-09 08:51:11:000635","1704801071635","2024-01-09 08:51:14:000722","1704801074722","2024-01-09 08:50:57:000634","1704801057634","2024-01-09 08:51:25:000147","1704801085147"
"70","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:50:47:000306","1704801047306","2024-01-09 08:50:52:000976","1704801052976","2024-01-09 08:50:26:000210","1704801026210","2024-01-09 08:50:38:000453","1704801038453","2024-01-09 08:50:43:000810","1704801043810","2024-01-09 08:50:47:000306","1704801047306","2024-01-09 08:50:38:000453","1704801038453","2024-01-09 08:50:40:000506","1704801040506","2024-01-09 08:50:40:000506","1704801040506","2024-01-09 08:50:43:000810","1704801043810","2024-01-09 08:50:26:000210","1704801026210","2024-01-09 08:50:52:000976","1704801052976"
"69","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:50:14:000787","1704801014787","2024-01-09 08:50:21:000138","1704801021138","2024-01-09 08:49:53:000680","1704800993680","2024-01-09 08:50:05:000906","1704801005906","2024-01-09 08:50:11:000594","1704801011594","2024-01-09 08:50:14:000786","1704801014786","2024-01-09 08:50:05:000907","1704801005907","2024-01-09 08:50:08:000362","1704801008362","2024-01-09 08:50:08:000362","1704801008362","2024-01-09 08:50:11:000594","1704801011594","2024-01-09 08:49:53:000680","1704800993680","2024-01-09 08:50:21:000138","1704801021138"
"68","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:49:43:000392","1704800983392","2024-01-09 08:49:49:000208","1704800989208","2024-01-09 08:49:22:000560","1704800962560","2024-01-09 08:49:33:000752","1704800973752","2024-01-09 08:49:40:000168","1704800980168","2024-01-09 08:49:43:000392","1704800983392","2024-01-09 08:49:33:000753","1704800973753","2024-01-09 08:49:36:000656","1704800976656","2024-01-09 08:49:36:000657","1704800976657","2024-01-09 08:49:40:000168","1704800980168","2024-01-09 08:49:22:000560","1704800962560","2024-01-09 08:49:49:000208","1704800989208"
"67","1-2-3-4-5","Mixed","CapsLock","2024-01-09 08:49:11:000624","1704800951624","2024-01-09 08:49:17:000328","1704800957328","2024-01-09 08:48:51:000362","1704800931362","2024-01-09 08:49:01:000050","1704800941050","2024-01-09 08:49:06:000479","1704800946479","2024-01-09 08:49:11:000624","1704800951624","2024-01-09 08:49:01:000050","1704800941050","2024-01-09 08:49:03:000362","1704800943362","2024-01-09 08:49:03:000362","1704800943362","2024-01-09 08:49:06:000479","1704800946479","2024-01-09 08:48:51:000362","1704800931362","2024-01-09 08:49:17:000328","1704800957328"
"66","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:47:45:000240","1704800865240","2024-01-09 08:47:51:000144","1704800871144","2024-01-09 08:47:24:000630","1704800844630","2024-01-09 08:47:34:000896","1704800854896","2024-01-09 08:47:41:000401","1704800861401","2024-01-09 08:47:44:000184","1704800864184","2024-01-09 08:47:34:000896","1704800854896","2024-01-09 08:47:37:000400","1704800857400","2024-01-09 08:47:37:000401","1704800857401","2024-01-09 08:47:41:000400","1704800861400","2024-01-09 08:47:24:000630","1704800844630","2024-01-09 08:47:51:000144","1704800871144"
"65","1-2-3-4-5","Mixed","CapsLock","2024-01-09 08:47:12:000520","1704800832520","2024-01-09 08:47:18:000065","1704800838065","2024-01-09 08:46:46:000121","1704800806121","2024-01-09 08:46:57:000898","1704800817898","2024-01-09 08:47:09:000832","1704800829832","2024-01-09 08:47:12:000519","1704800832520","2024-01-09 08:46:57:000898","1704800817898","2024-01-09 08:47:01:000617","1704800821617","2024-01-09 08:47:01:000617","1704800821617","2024-01-09 08:47:09:000832","1704800829832","2024-01-09 08:46:46:000121","1704800806121","2024-01-09 08:47:18:000065","1704800838065"
"64","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:46:33:000714","1704800793714","2024-01-09 08:46:40:000874","1704800800874","2024-01-09 08:46:13:000650","1704800773650","2024-01-09 08:46:24:000418","1704800784418","2024-01-09 08:46:31:000378","1704800791378","2024-01-09 08:46:33:000714","1704800793714","2024-01-09 08:46:24:000418","1704800784418","2024-01-09 08:46:27:000250","1704800787250","2024-01-09 08:46:27:000250","1704800787250","2024-01-09 08:46:31:000378","1704800791378","2024-01-09 08:46:13:000650","1704800773650","2024-01-09 08:46:40:000874","1704800800874"
"63","1-2-3-4-5","Mixed","CapsLock","2024-01-09 08:46:03:000074","1704800763074","2024-01-09 08:46:09:000026","1704800769026","2024-01-09 08:45:41:000595","1704800741595","2024-01-09 08:45:54:000675","1704800754675","2024-01-09 08:46:00:000516","1704800760516","2024-01-09 08:46:03:000074","1704800763074","2024-01-09 08:45:54:000675","1704800754675","2024-01-09 08:45:57:000123","1704800757123","2024-01-09 08:45:57:000123","1704800757123","2024-01-09 08:46:00:000515","1704800760515","2024-01-09 08:45:41:000595","1704800741595","2024-01-09 08:46:09:000026","1704800769026"
"62","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:45:31:000059","1704800731059","2024-01-09 08:45:37:000004","1704800737004","2024-01-09 08:45:10:000027","1704800710027","2024-01-09 08:45:22:000131","1704800722131","2024-01-09 08:45:28:000037","1704800728037","2024-01-09 08:45:31:000059","1704800731059","2024-01-09 08:45:22:000131","1704800722131","2024-01-09 08:45:24:000307","1704800724307","2024-01-09 08:45:24:000307","1704800724307","2024-01-09 08:45:28:000037","1704800728037","2024-01-09 08:45:10:000027","1704800710027","2024-01-09 08:45:37:000004","1704800737004"
"61","1-2-3-4-5","Mixed","CapsLock","2024-01-09 08:44:59:000482","1704800699482","2024-01-09 08:45:05:000540","1704800705540","2024-01-09 08:44:38:000505","1704800678505","2024-01-09 08:44:49:000394","1704800689394","2024-01-09 08:44:55:000241","1704800695241","2024-01-09 08:44:59:000481","1704800699481","2024-01-09 08:44:49:000394","1704800689394","2024-01-09 08:44:51:000794","1704800691794","2024-01-09 08:44:51:000794","1704800691794","2024-01-09 08:44:55:000241","1704800695241","2024-01-09 08:44:38:000505","1704800678505","2024-01-09 08:45:05:000540","1704800705540"
"60","1-2-3-4-5","Numpad","CapsLock","2024-01-09 08:44:27:000762","1704800667762","2024-01-09 08:44:33:000346","1704800673346","2024-01-09 08:44:08:000241","1704800648241","2024-01-09 08:44:19:000392","1704800659392","2024-01-09 08:44:25:000105","1704800665105","2024-01-09 08:44:27:000762","1704800667762","2024-01-09 08:44:19:000393","1704800659393","2024-01-09 08:44:21:000698","1704800661698","2024-01-09 08:44:21:000698","1704800661698","2024-01-09 08:44:25:000105","1704800665105","2024-01-09 08:44:08:000241","1704800648241","2024-01-09 08:44:33:000346","1704800673346"
